"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"48","Case New Holland","Italy","Fiat SPA",59000,8500,50500,2000
"49","Celanese Americas Corp","Germany","Celanese AG",43850,16500,26850,2000
"50","Central Soya Co","Italy","Montedison",10500,1000,9500,2000
"51","CGU Corp","UK","CGU PLC",500,500,0,2000
"52","Ciba Specialty Chemicals","Switzerland","Ciba Specialty Chemicals Holding",19500,4000,15500,2000
"53","CIBC Oppenheimer","Canada","Canadian Imperial Bank of Commerce",0,0,0,2000
"54","Cominco American","Canada","Cominco Ltd",5000,0,5000,2000
"55","Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch Shell",27500,3500,23500,2000
"56","Credit Suisse First Boston (Credit Suisse Group)","Switzerland","Credit Suisse Group",18500,500,18000,2000
"57","Credit Suisse First Boston (Credit Suisse Group)","Switzerland","Credit Suisse Group",225857,99857,126000,2000
"58","CSR America","Australia","CSR Ltd",102750,9000,93750,2000
"59","DaimlerChrysler (DaimlerChrysler)","Germany","DaimlerChrysler AG",450100,166650,283450,2000
"60","Deutsche Bank North America","Germany","Deutsche Bank AG",144000,67000,77000,2000
"61","Equitable Life Assurance Society (AXA)","France","AXA",133000,62000,71000,2000
"62","Equitable of Iowa Companies (ING Group)","Netherlands","ING Group",8200,3700,4500,2000
"63","Essroc Corp","Italy","Italcementi Group",2500,0,2500,2000
"64","Experian (GUS plc)","UK","GUS plc",5250,750,4500,2000
"65","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",52594,4000,48594,2000
"66","Fireman's Fund Insurance (Allianz)","Germany","Allianz AG Holding",63900,17050,46850,2000
"67","Food Lion","Belgium","Delhaize Group",25000,13750,11250,2000
"68","Fortis Inc","Belgium","Fortis AG",8500,2500,6000,2000
"69","GEC-Marconi Hazeltine (BAE Systems)","UK","BAE Systems",0,0,0,2000
"70","Genentech Inc (Roche Holdings)","Switzerland","Roche Group",123250,62750,60500,2000
"71","Gilman Paper","Mexico","Grupo Industrial Durango",12412,0,12412,2000
"72","GKN Corp","UK","GKN PLC",4775,0,4775,2000
"73","GlaxoSmithKline (GlaxoSmithKline)","UK","GlaxoSmithKline",604759,109998,494761,2000
"74","GlaxoSmithKline (GlaxoSmithKline)","UK","GlaxoSmithKline",135500,35750,99750,2000
"75","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",12065,7315,4750,2000
"76","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",46000,5000,41000,2000
"77","Greyhound Lines","Canada","Laidlaw",36500,20000,16500,2000
"78","Guinness/UDV North America (Diageo PLC)","UK","Diageo PLC",97500,48500,49000,2000
"79","Heublein UDV (Diageo plc)","UK","Diageo PLC",1500,500,1000,2000
"80","Hill & Knowlton (WPP Group)","UK","WPP Group",42500,21000,21500,2000
"81","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",143249,48000,95249,2000
"82","Holnam Inc","Switzerland","Holderbank Financiere Glaris",52250,12000,40250,2000
"83","HSBC USA","UK","HSBC Holdings",7160,3500,3660,2000
"84","ING US (ING Group)","Netherlands","ING Group",86500,25000,61500,2000
"85","Instinet Corp","UK","Reuters Group",47800,17250,30550,2000
"86","JA Jones Construction (Philipp Holzmann AG)","Germany","Philipp Holzmann AG",1250,1000,250,2000
"87","Jackson National Life Insurance","UK","Prudential PLC",77100,19500,57600,2000
"88","Joseph E Seagram & Sons (Vivendi Universal)","France","Vivendi Universal",117822,50000,67822,2000
"89","Kennecott Energy","UK","Rio Tinto PLC",71045,12000,59045,2000
"90","LaFarge Corp","France","Lafarge SA",21550,10100,11450,2000
"91","LaSalle National Corp (ABN AMRO)","Netherlands","ABN Amro Holding",23075,12375,10700,2000
"92","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",13500,2000,11500,2000
"93","Lehigh Portland Cement","Germany","HeidelbergCement AG",11500,3000,8500,2000
"94","Lone Star Industries","Germany","Dyckerfhoff",7000,1000,6000,2000
"95","Loral Space & Communications","UK","Loral Space & Communications",107000,86000,21000,2000
"96","Louisville Gas & Electric","UK","PowerGen",5000,0,5000,2000
"97","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",37000,7500,29500,2000
"98","Mallinckrodt Pharmaceuticals (Tyco International)","Ireland","Tyco International",149400,55500,93900,2000
"99","Massachusetts Financial Services","Canada","Sun Life Financial Services",21000,11500,9500,2000
"100","Master Builders Inc","Germany","E.ON AG",2000,0,2000,2000
"101","Michigan National Bank","Australia","National Australia Bank",16500,1000,15500,2000
"102","National Grid USA (National Grid plc)","UK","National Grid plc",52000,33000,19000,2000
"103","National Steel Corp","Japan","NKK Corp",0,0,0,2000
"104","NCS Pearson (Pearson PLC)","UK","Pearson PLC",600,300,300,2000
"105","Nestle USA (Nestle SA)","Switzerland","Nestle",52000,13000,37500,2000
"106","News America Publishing","Australia","News Corp",82500,31000,51500,2000
"107","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",157969,33733,124236,2000
"108","Oldcastle Materials","Ireland","CRH PLC",81841,28000,53841,2000
"109","ONDEO Nalco (SUEZ SA)","France","Suez Lyonnaise des Eaux",35750,4750,31000,2000
"110","Oppenheimer Capital (Allianz)","Germany","Allianz AG Holding",0,0,0,2000
"111","Organon Inc","Netherlands","Akzo Nobel",2250,250,2000,2000
"112","PacifiCorp","UK","Scottish Power",11500,4250,7250,2000
"113","PaineWebber","Switzerland","UBS AG",85950,29950,56000,2000
"114","Peter Pan Seafoods","Japan","Nichiro Corp",1700,0,1700,2000
"115","Philips Electronics North America","Netherlands","Philips Electronics",55700,6500,49200,2000
"116","Pilkington North America","UK","Pilkington Group",13500,1000,12500,2000
"117","Pillsbury Co (Diageo PLC)","UK","Diageo PLC",33000,8500,24500,2000
"118","Pinkerton Tobacco","Sweden","Swedish Match AB",49750,8000,40750,2000
"119","Reed Elsevier Inc","UK","Reed Elsevier Group",10250,4250,6000,2000
"120","Reliastar Financial (ING Group)","Netherlands","ING Group",54096,21715,32381,2000
"121","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce International",54629,15218,39411,2000
"122","Roquette America","France","Roquette Freres",3750,3000,750,2000
"123","Sagem Morpho Inc","France","Sagem SA",2000,2000,0,2000
"124","Sea-Land Service (AP Moller-Maersk)","Denmark","AP Moller-Maersk",74100,24500,49350,2000
"125","Security Life of Denver (ING Group)","Netherlands","ING Group",13600,4100,9500,2000
"126","Serono Inc","Switzerland","Serono SA",7000,5000,2000,2000
"127","Shaklee Corp (Yamanouchi Consumer)","Japan","Yamanouchi Pharmaceutical",0,0,0,2000
"128","Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch/Shell Group of Companies",118600,29500,89100,2000
"129","Siemens Corp (Siemens AG)","Germany","Siemans AG",10000,4000,6000,2000
"130","Siemens ElectroCom (Siemens AG)","Germany","Siemens AG",4500,1000,3500,2000
"131","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",78750,50000,28750,2000
"132","Standard Federal Bank (ABN AMRO)","Netherlands","ABN Amro Holding",2750,0,2750,2000
"133","Syngenta Corp","Switzerland","Syngenta AG",0,0,0,2000
"134","Syntex (USA) Inc (Roche Holdings)","Switzerland","Roche Holdings",8750,6250,2500,2000
"135","Tate & Lyle North American Sugars (Tate & Lyle)","UK","Tate & Lyle",2100,2100,0,2000
"136","Timex Corp","Netherlands","Timex Group",0,0,0,2000
"137","Tractebel","Belgium","Tractabel",2000,0,2000,2000
"138","TransAmerica (Aegon NV)","Netherlands","Aegon NV",31000,8000,23000,2000
"139","UnionBanCal Corp","Japan","Mitsubishi UFJ Financial Group",9750,7750,2000,2000
"140","United Water Resources (SUEZ SA)","France","SUEZ SA",9035,7450,1585,2000
"141","Universal Studios (Vivendi Universal)","France","Vivendi Universal",148750,65500,83250,2000
"142","US Surgical Corp (Tyco International)","Ireland","Tyco International",7100,0,7100,2000
"143","USFilter Corp (Vivendi Universal)","France","Vivendi Universal",17250,15000,2250,2000
"144","Vodafone Group","UK","Vodafone Group",49850,14600,35250,2000
"145","Westfield Corp","Australia","Westfield Group of Australia",29850,19350,10500,2000
"146","Westinghouse Electric (BNFL PLC)","UK","BNFL PLC",27000,8000,19000,2000
"147","Westinghouse Electric (BNFL PLC)","UK","British Nuclear Fuels PLC",250,250,0,2000
"148","Wexler Group (WPP Group)","UK","WPP Group",121093,53000,68093,2000
"149","Zenith Electronics","South Korea","LG Electronics",0,0,0,2000
"150","Zurich Insurance (Zurich Financial Services)","Switzerland","Zurich Financial Services",80787,25250,55537,2000
"151","7-Eleven","Japan","Ito-Yokado",7070,2528,4542,2002
"152","ABB Group","Switzerland","Asea Brown Boveri",34500,18750,15750,2002
"153","Accenture","UK","Accenture plc",220947,94242,126705,2002
"154","ACE INA","UK","ACE Group",77250,31500,45750,2002
"155","Acuson Corp (Siemens AG)","Germany","Siemens AG",0,0,0,2002
"156","AE Staley Manufacturing (Tate & Lyle)","UK","Tate & Lyle",28500,12500,16000,2002
"157","AEGON USA (AEGON NV)","Netherlands","Aegon NV",164500,73500,91000,2002
"158","AIM Management Group","UK","AMVESCAP",24500,8500,16000,2002
"159","Air Liquide America","France","L'Air Liquide SA",2650,2000,650,2002
"160","Alcatel USA","France","Alcatel",13750,4500,9250,2002
"161","Alcon Laboratories (Nestle SA)","Switzerland","Nestle",2000,1000,1000,2002
"162","Allfirst Financial","Ireland","Allied Irish Banks",6320,3820,2500,2002
"163","Allianz of America (Allianz)","Germany","Allianz AG Holding",60750,19100,41650,2002
"164","Allied Domecq Spirits & Wine","UK","Allied Domecq",32250,6000,26250,2002
"165","American Water Works Co (RWE AG)","Germany","RWE AG",32900,12850,20050,2002
"166","AMP Inc (Tyco International)","Ireland","Tyco International",0,0,0,2002
"167","Anglogold Ltd","UK","Anglo American PLC",11850,3000,8850,2002
"168","APL Ltd","Singapore","Neptune Orient Lines Ltd",15360,5250,10110,2002
"169","Aqua-Chem Inc","France","Lyonnaise des Eaux-Dumez Group",0,0,0,2002
"170","ASARCO LLC","Mexico","Nueva Grupo Mexico",2000,0,2000,2002
"171","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca",125800,38050,87750,2002
"172","ATOFINA Chemicals (TotalFinaElf)","France","TOTAL FINA ELF",26600,7100,19500,2002
"173","ATOFINA Petrochemicals (TotalFinaElf)","France","TotalFinaElf",2500,1000,1500,2002
"174","Austin, Nichols & Co","France","Pernod Ricard SA",0,0,0,2002
"175","Aventis Pasteur USA (Aventis)","France","Aventis",137040,75790,61250,2002
"176","Aventis Pharmaceuticals (Aventis)","France","Aventis",116000,24500,91500,2002
"177","Aventis Pharmaceuticals Products (Aventis)","France","Aventis",15267,0,15267,2002
"178","Babcock & Wilcox (McDermott International)","Panama","McDermott International",30500,10000,20500,2002
"179","Bacardi USA","UK","Bacardi Ltd",0,0,0,2002
"180","BAE Systems North America (BAE Systems)","UK","BAE Systems",390276,149028,241248,2002
"181","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",75000,33500,41500,2002
"182","BASF Corp","Germany","BASF Group",204500,41500,163000,2002
"183","Bayer Corp (Bayer AG)","Germany","Bayer AG",260500,73000,187500,2002
"184","Bayer CropScience (Bayer AG)","Germany","Bayer AG",36000,15500,20500,2002
"185","Bear Creek Corp (Yamanouchi Consumer)","Japan","Yamanouchi Consumer",10150,5050,5100,2002
"186","BHP Holdings","Australia","BHP Billiton",1023,400,623,2002
"187","Bird-Johnson Co (Rolls-Royce PLC)","UK","Rolls-Royce PLC",3000,500,2500,2002
"188","Blue Circle America (Lafarge SA)","France","Lafarge SA",8500,1000,7500,2002
"189","BOC Group","UK","BOC Group",0,0,0,2002
"190","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",24000,10500,13500,2002
"191","BP North America","UK","BP PLC",175000,65750,109250,2002
"192","Bridgestone Americas","Japan","Bridgestone Corp",60200,24200,36000,2002
"193","Brown & Williamson Tobacco","UK","British American Tobacco",242324,44000,198324,2002
"194","Budd Co","Germany","ThyssenKrupp AG",1000,1000,0,2002
"195","Burns International Services (Securitas AB)","Sweden","Securitas AB",0,0,0,2002
"196","Burson-Marsteller (WPP Group)","UK","WPP Group",91540,38040,52500,2002
"197","Business Men's Assurance Co","Italy","Assicurazioni Generali",2500,1500,1000,2002
"198","BWX Technologies (McDermott International)","Panama","McDermott International",38650,10050,28600,2002
"199","Cable & Wireless USA","UK","Cable & Wireless PLC",52100,24000,28100,2002
"200","Case New Holland","Italy","Fiat SPA",46500,4500,42000,2002
"201","Celanese Americas Corp","Germany","Celanese AG",74500,22500,52000,2002
"202","Central Soya Co","France","Cereol",11300,2000,9300,2002
"203","CGU Corp","UK","CGNU PLC",0,0,0,2002
"204","Ciba Specialty Chemicals","Switzerland","Ciba Specialty Chemicals Holding",29500,7500,22000,2002
"205","CIBC Oppenheimer","Canada","Canadian Imperial Bank of Commerce",0,0,0,2002
"206","Cooper Industries","Ireland","Cooper Industries Ltd",187500,0,187500,2002
"207","Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch Shell",0,0,0,2002
"208","Credit Suisse First Boston (Credit Suisse Group)","Switzerland","Credit Suisse Group",298312,135812,162500,2002
"209","Credit Suisse First Boston (Credit Suisse Group)","Switzerland","Credit Suisse Group",0,0,0,2002
"210","DaimlerChrysler (DaimlerChrysler)","Germany","DaimlerChrysler AG",483090,196590,286500,2002
"211","Diageo North America (Diageo PLC)","UK","Diageo PLC",61000,24000,37000,2002
"212","E ON US","Germany","Eon AG",4850,500,4350,2002
"213","Equitable Life Assurance Society (AXA)","France","AXA",104500,39500,65000,2002
"214","Essroc Corp","Italy","Italcementi Group",2600,1500,1100,2002
"215","Experian (GUS plc)","UK","GUS plc",1000,0,1000,2002
"216","Experian (GUS Plc)","UK","GUS plc",0,0,0,2002
"217","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",36650,7300,29350,2002
"218","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",5200,5200,0,2002
"219","Food Lion","Belgium","Delhaize Group",37750,10000,27750,2002
"220","Fortis Inc","Belgium","Fortis AG",79000,21000,58000,2002
"221","Foster Wheeler","Switzerland","Foster Wheeler PLC",8800,1000,7800,2002
"222","Gambro Healthcare","Sweden","Gambro AB",4000,0,4000,2002
"223","Genentech Inc (Roche Holdings)","Switzerland","Roche Group",128250,71500,56750,2002
"224","Getronics Government Solutions (BAE Systems)","UK","BAE Systems",1000,1000,0,2002
"225","GKN Corp","UK","GKN PLC",630,0,630,2002
"226","GlaxoSmithKline (GlaxoSmithKline)","UK","GlaxoSmithKline",769042,193923,575119,2002
"227","GlaxoSmithKline (GlaxoSmithKline)","UK","GlaxoSmithKline",-4000,-500,-3500,2002
"228","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",21825,12675,9150,2002
"229","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",35550,4050,31500,2002
"230","Greyhound Lines","Canada","Laidlaw",39500,24500,15000,2002
"231","Heineken USA (Heineken NV)","Netherlands","Heineken NV",12000,8000,4000,2002
"232","Hill & Knowlton (WPP Group)","UK","WPP Group",30000,17500,12500,2002
"233","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",101800,60300,41500,2002
"234","Holcim US","Switzerland","Holcim Ltd",71838,24213,47625,2002
"235","HSBC USA","UK","HSBC Holdings",5330,3000,2330,2002
"236","ING US (ING Group)","Netherlands","ING Group",149395,52000,97395,2002
"237","Instinet Corp","UK","Reuters Group",67500,23500,44000,2002
"238","JA Jones Construction (Philipp Holzmann AG)","Germany","Philipp Holzmann AG",2900,1400,1500,2002
"239","Jackson National Life Insurance","UK","Prudential PLC",71821,21000,50821,2002
"240","Joseph E Seagram & Sons (Diageo PLC)","UK","Diageo PLC",26300,10300,16000,2002
"241","Kennecott Energy","UK","Rio Tinto PLC",85246,21000,64246,2002
"242","LaFarge North America (Lafarge SA)","France","Lafarge SA",42500,15000,27500,2002
"243","LaSalle Bank (ABN AMRO)","Netherlands","ABN Amro Holding",32250,18000,14250,2002
"244","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",1000,500,500,2002
"245","Lehigh Cement","Germany","HeidelbergCement AG",16250,3500,12750,2002
"246","Lone Star Industries","Germany","Dyckerfhoff",10500,4000,6500,2002
"247","Loral Space & Communications","UK","Loral Space & Communications",96600,74600,22000,2002
"248","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",53500,16500,37000,2002
"249","Mallinckrodt Pharmaceuticals (Tyco International)","Ireland","Tyco International",24000,9000,15000,2002
"250","Massachusetts Financial Services","Canada","Sun Life Financial Services",1000,1000,0,2002
"251","Master Builders Inc","Germany","E.ON AG",0,0,0,2002
"252","McDermott International (McDermott International)","Panama","McDermott International",20500,4500,16000,2002
"253","Michigan National Bank","Australia","National Australia Bank",500,0,500,2002
"254","Miller Brewing (SABMiller)","UK","SABMiller PLC",4000,4000,0,2002
"255","National Grid USA (National Grid plc)","UK","National Grid plc",61450,33500,27950,2002
"256","National Steel Corp","Japan","NKK Corp",0,0,0,2002
"257","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",26500,5500,21000,2002
"258","Nestle USA (Nestle SA)","Switzerland","Nestle",49250,15000,34250,2002
"259","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",7900,3000,4900,2002
"260","News America Publishing (News Corporation)","Australia","News Corp",87710,48000,39710,2002
"261","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",175555,43250,132305,2002
"262","Oldcastle Materials","Ireland","CRH PLC",109600,57300,52300,2002
"263","ONDEO Nalco (SUEZ SA)","France","Suez Lyonnaise des Eaux",13100,3000,10100,2002
"264","Oppenheimer Capital (Allianz)","Germany","Allianz AG Holding",0,0,0,2002
"265","Organon Inc","Netherlands","Akzo Nobel",0,0,0,2002
"266","PacifiCorp","UK","Scottish Power",10000,2500,7500,2002
"267","Pennsylvania-American Water Co (RWE AG)","Germany","RWE AG",0,0,0,2002
"268","Peter Pan Seafoods","Japan","Nichiro Corp",3850,350,3500,2002
"269","Philips Electronics North America","Netherlands","Philips Electronics",69858,10100,59758,2002
"270","Pilkington North America","UK","Pilkington Group",2500,1000,1500,2002
"271","Pinkerton Tobacco","Sweden","Swedish Match AB",40495,6500,33995,2002
"272","RBC Centura Banks","Canada","Royal Bank of Canada",13500,5750,7750,2002
"273","Reed Elsevier Inc","UK","Reed Elsevier Group",34500,14500,20000,2002
"274","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce International",125449,42750,82699,2002
"275","Roquette America","France","Roquette Freres",125,125,0,2002
"276","Sagem Morpho Inc","France","Sagem SA",7500,7500,0,2002
"277","SAP America","Germany","SAP AG",20100,9000,11100,2002
"278","Sensormatic Electronics (Tyco International)","Ireland","Tyco International",2328,0,2328,2002
"279","Serono Inc","Switzerland","Serono SA",7000,2000,5000,2002
"280","SES Americom (SES Global)","Luxembourg","SES Global",5500,3000,2500,2002
"281","Shaklee Corp (Yamanouchi Consumer)","Japan","Yamanouchi Pharmaceutical",1000,1000,0,2002
"282","Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch-Shell",127790,31290,96500,2002
"283","Siemens Corp (Siemens AG)","Germany","Siemans AG",116998,31999,84999,2002
"284","Siemens Dematic Postal Automation (Siemens AG)","Germany","Siemens AG",2500,1500,1000,2002
"285","Smith & Nephew","UK","Smith & Nephew Plc",19000,9000,10000,2002
"286","Sodexho Inc","France","Sodexho Alliance",3350,2250,1100,2002
"287","Solvay Pharmaceuticals","Belgium","Solvay SA",0,0,0,2002
"288","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",128500,73500,55000,2002
"289","Standard Federal Bank (ABN AMRO)","Netherlands","ABN Amro Holding",13100,3250,9850,2002
"290","Syngenta Corp","Switzerland","Syngenta AG",34500,14000,20500,2002
"291","Syntex (USA) Inc (Roche Holdings)","Switzerland","Roche Holdings",10000,8000,2000,2002
"292","T-Mobile USA","Germany","Deutsche Telekom AG",87000,50000,37000,2002
"293","Teck Cominco American","Canada","Teck Cominco",3000,1000,2000,2002
"294","Timex Corp","Netherlands","Timex Group",0,0,0,2002
"295","Tractebel (Tractebel)","Belgium","Tractabel",0,0,0,2002
"296","Tractebel North America (Tractebel)","Belgium","Tractabel",1000,0,1000,2002
"297","TransAmerica (Aegon NV)","Netherlands","Aegon NV",0,0,0,2002
"298","UBS Americas","Switzerland","UBS AG",111400,58400,52000,2002
"299","UnionBanCal Corp","Japan","Mitsubishi UFJ Financial Group",13500,3500,10000,2002
"300","United Water Resources (SUEZ SA)","France","SUEZ SA",18150,14650,3500,2002
"301","Universal Studios (Vivendi Universal)","France","Vivendi Universal",136500,65500,71000,2002
"302","US Surgical Corp (Tyco International)","Ireland","Tyco International",0,0,0,2002
"303","Wackenhut Corp (Group 4 Falck)","Denmark","Group 4 Falck",20250,4250,16000,2002
"304","Wackenhut Corp (Group 4 Falck)","Denmark","Group 4 Falck",0,0,0,2002
"305","Westfield Corp","Australia","Westfield Group of Australia",23619,21619,2000,2002
"306","Westinghouse Electric (BNFL PLC)","UK","British Nuclear Fuels PLC",5250,500,4750,2002
"307","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",93500,34000,59500,2002
"308","Zurich Insurance (Zurich Financial Services)","Switzerland","Zurich Financial Services",98182,32000,66182,2002
"309","7-Eleven","Japan","Ito-Yokado",750,0,750,2004
"310","ABB Group","Switzerland","Asea Brown Boveri",16500,6500,10000,2004
"311","Accenture","UK","Accenture plc",197071,54124,142947,2004
"312","ACE INA","UK","ACE Ltd",169900,39500,130400,2004
"313","AE Staley Manufacturing (Tate & Lyle)","UK","Tate & Lyle",11500,500,11000,2004
"314","AEGON USA","Netherlands","Aegon NV",174500,72000,102500,2004
"315","AIM Management Group","UK","AMVESCAP",18500,5000,13500,2004
"316","Air Liquide America","France","L'Air Liquide SA",12925,4750,8175,2004
"317","Alcatel USA","France","Alcatel",12500,1000,11500,2004
"318","Alcon Laboratories (Nestle SA)","Switzerland","Nestle",32220,8500,23720,2004
"319","Allfirst Financial","Ireland","Allied Irish Banks",0,0,0,2004
"320","Allianz of America (Allianz)","Germany","Allianz AG Holding",116750,40400,76350,2004
"321","Allied Domecq Spirits & Wine","UK","Allied Domecq",43500,12000,31500,2004
"322","American Medical Response","Canada","Onex Corp",0,0,0,2004
"323","American Water Works Co (RWE AG)","Germany","RWE AG",1000,1000,0,2004
"324","Anglogold Ashanti","South Africa","Anglogold Ashanti",6500,3000,3500,2004
"325","APL Ltd","Singapore","Neptune Orient Lines Ltd",16500,11000,5500,2004
"326","Arcadis G&M","Netherlands","Arcadis NV",11200,1200,10000,2004
"327","AREVA Inc","France","Areva Group",18500,2000,16500,2004
"328","ASARCO LLC","Mexico","Nueva Grupo Mexico",0,0,0,2004
"329","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca",219130,61630,157500,2004
"330","ATOFINA Chemicals (TOTAL SA)","France","TOTAL SA",22000,2500,19500,2004
"331","Austin, Nichols & Co","France","Pernod Ricard SA",5500,2500,3000,2004
"332","Aventis Pharmaceuticals (Sanofi-Aventis)","France","Sanofi-Aventis",109265,25515,83750,2004
"333","AXA Equitable Life Insurance (AXA)","France","AXA",145500,39000,106500,2004
"334","Babcock & Wilcox (McDermott International)","Panama","McDermott International",26000,7000,19000,2004
"335","Bacardi USA","UK","Bacardi Ltd",13973,4000,9973,2004
"336","BAE Systems Information Technology (BAE Systems)","UK","BAE Systems",0,0,0,2004
"337","BAE Systems North America (BAE Systems)","UK","BAE Systems",302150,134100,168050,2004
"338","Ballard Power Systems","Canada","Ballard Power Systems",5000,5000,0,2004
"339","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",60000,14000,46000,2004
"340","BASF Corp","Germany","BASF Group",92000,10500,81500,2004
